case,mode,mean,median,std,PC1,PC2,PC3,PC4,PC5,outcome
138,0,117.431,129,64.29729,-8382341,-9776.88,-483.96,1455.08,-3275.71,0
139,0,126.4643,140,57.75603,-8380743,-8609.6,412.029,5586.942,2268.109,0
140,0,114.0051,126,56.24022,-8383988,-7184.26,-3019.91,1275.983,1282.823,0
141,0,108.546,121,54.60429,-8385830,-5555.24,-3134.5,-2622.67,4972.516,0
142,0,130.0167,137,48.75972,-8379853,-4626.45,-4021.63,3284.613,124.8406,0
143,0,130.5792,143,59.9291,-8378408,-6614.14,435.1449,-92.3412,-99.4456,0
144,0,105.1569,104,63.73636,-8385469,-7321.14,-683.308,-3729.76,-3534.86,0
145,0,111.3211,115,66.19593,-8383460,-8537.09,864.1267,-1471.21,-2086.31,0
146,0,133.6807,145,61.89612,-8377378,-6674.65,-3089.22,-1702.51,-2005.88,0
147,0,119.8734,132,62.6246,-8381595,-8898.4,-1889.41,-1385.73,1778.988,0
148,0,129.0717,133,57.53532,-8379113,-5545.38,-2204.26,-419.667,-3964.98,0
149,0,102.2196,106,61.48463,-8386863,-8589.68,-2411.64,-1006.57,-116.208,0
150,0,108.6921,123,62.01839,-8385024,-9878.09,661.079,446.196,3489.936,0
151,0,128.0053,135,58.58019,-8379240,-6508.7,-1159.18,512.7879,-2666.88,0
152,0,124.1394,132,59.84726,-8380262,-2159.95,1588.62,-4422.68,-1659.9,0
153,0,127.6851,134,54.19093,-8379878,-3710.67,-3432.86,353.1053,-3892.49,0
154,0,138.8308,151,59.2541,-8376194,-3645.12,-704.691,-3423.47,-1463.95,0
155,0,123.4551,138,69.05831,-8379918,-10226.7,-1900.72,-2573.28,1860.758,0
156,0,110.0908,120,66.67828,-8384243,-11282.3,682.2831,806.4391,891.4437,0
157,0,115.559,126,71.46983,-8382169,-10282.4,3177.303,-1815.88,2573.592,0
158,0,107.9189,119,51.59652,-8385765,-6993.41,-1063.57,-2304.36,637.8874,0
159,0,132.8573,137,56.09677,-8378252,-3855.18,-4671.81,-1167.86,-1497.06,0
160,0,128.612,139,62.76014,-8378863,-7898.68,288.9924,1396.103,-1410.58,0
161,0,125.3379,143,69.01979,-8379690,-10734.4,2852.045,496.9074,4738.478,0
162,0,124.9202,138,61.38313,-8380855,-6714.6,-5117.91,1797.257,-4924.66,0
163,0,112.3549,120,63.88424,-8383439,-7827.61,-1955.85,-3280.38,-336.76,0
