case,mode,mean,median,std,PC1,PC2,PC3,PC4,PC5,outcome
94,255,150.87,158,64.749,-8.16E+06,-2644.7,-4538.6,2891.9,2421.1,1
95,0,106.92,120,53.345,-8.18E+06,-106.88,1041.4,2576.1,3876.2,1
96,204,157.72,162,43.077,-8.16E+06,-10023,-294.87,-3363.7,-3612.2,1
97,77,57.302,59,18.857,-8.19E+06,-2524.7,-1068.7,-1113.9,1099.1,1
98,114,128.06,123,24.478,-8.17E+06,-4926.5,2538.4,-4068.7,-2266.8,1
99,204,153.12,159,39.862,-8.17E+06,-8105.6,3133.2,-1928.5,-1576.9,1
100,154,150.97,149,52.083,-8.17E+06,-2213.5,466.11,4410.7,-3906.3,1
101,0,117.62,123,54.966,-8.18E+06,1681.1,6067.8,2830.3,-3481.5,0
102,0,126.12,138,59.367,-8.17E+06,4456.3,659.44,-6922.3,-1588.3,0
103,0,128.35,142,63.787,-8.17E+06,5095.5,-720.92,5889.8,3736.7,0
104,0,115.1,124,52.97,-8.18E+06,6028.1,420.63,-498.65,943.36,0
105,0,121.85,131,61.344,-8.17E+06,8340.2,-1582.5,-372.54,325.85,0
106,0,118.28,130,57.254,-8.17E+06,5136.7,4809.2,3180,349.49,0
107,0,104.52,113,62.829,-8.18E+06,10226,80.207,-3754.2,-2798.3,0
108,0,112.86,122,60.92,-8.18E+06,6654.8,-427.58,-3101.2,43.688,0
109,0,119.29,131,64.173,-8.17E+06,5954.4,1248,4867.9,1484.9,0
110,0,111.73,115,62.854,-8.18E+06,8445.3,1436.5,1001.1,3061.4,0
111,0,108.33,113,61.885,-8.18E+06,7299.9,2294.3,-2757.4,1721.5,0
112,0,123.48,138,64.285,-8.17E+06,7061.7,312.42,1969.9,2352.2,0
113,0,116.18,132,58.041,-8.18E+06,8757.2,2028.8,-1386.3,-3361.9,0
114,0,128.44,145,62.994,-8.17E+06,8382.2,-630.23,-720.42,-3974.1,0
115,0,115.29,127,65.329,-8.17E+06,9614.9,-713.53,-222.26,-129.16,0
116,0,130.37,141,59.974,-8.17E+06,4888.7,1060.2,-4742.7,-1107.8,0
117,0,132.41,144,61.992,-8.17E+06,6865.3,778.51,68.999,1194.1,0
118,0,126.47,134,64.301,-8.17E+06,3896.6,-2964,-4815.2,-226.75,0
119,0,112.76,121,58.41,-8.18E+06,7385.6,525.64,936.85,1010.9,0
120,0,110.25,119,60.511,-8.18E+06,8358.9,324.61,659.88,-1682.1,0
121,0,119.31,125,64.194,-8.17E+06,7496.5,-1646,3378.4,-96.356,0
122,0,107.05,115,58.738,-8.18E+06,9225.3,-421.57,-518.21,131.12,0
123,0,97.577,103,68.446,-8.18E+06,10943,-1177.6,1412.9,-2646.9,0
124,0,105.11,115,64.631,-8.18E+06,10129,-2128,-1571.3,-2375.9,0
125,0,109.01,120,58.919,-8.18E+06,8176.9,67.791,-2940.2,-2602.1,0
126,0,113.03,122,58.079,-8.18E+06,7683.4,445.62,-677.89,-1561.8,0
127,0,104.36,109,67.223,-8.18E+06,10251,-635.66,-1401.8,-1209.5,0
128,0,130.61,136,55.982,-8.17E+06,2214.9,4058.5,412.06,942.67,0
129,0,121.6,129,57.491,-8.17E+06,4421.8,1711.8,-1751.1,-398.5,0
130,0,118.79,126,64.113,-8.17E+06,8250.6,-2327,-476.79,1506.8,0
131,0,109.68,118,63.634,-8.18E+06,9659.8,292.61,1208.8,-1167,0
132,0,121.95,124,49.559,-8.17E+06,1803.5,2352.8,-1399.5,303.04,0
133,0,115.7,123,52.509,-8.18E+06,4308.1,1324.1,1155.7,2052.2,0
134,0,121.89,133,58.059,-8.17E+06,5334.4,-4505.2,-4328.9,1846.2,0
135,0,99.936,112,54.783,-8.18E+06,8280,-1178.3,-1327.2,-3227.3,0
136,0,97.055,106,55.372,-8.18E+06,8109.3,-1147.4,-1160.2,-2945.9,0
137,0,122,137,60.774,-8.17E+06,9323.1,1553.7,-2126.7,-795.29,0
138,0,120.95,133,60.17,-8.17E+06,6571.5,4387.9,2403.7,3989.8,0
139,0,110.73,120,59.027,-8.18E+06,7499.8,388.56,40.146,-4037.2,0
